contract,underlying_symbol,exp_date,expiration_type,type,strike,exchange,currency,open,high,low,last,last_size,change,pctchange,previous,previous_date,bid,bid_date,bid_size,ask,ask_date,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,tradetime,vol_oi_ratio,dte,midpoint,date,record_id,record_type
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,6.05,6.68,3.6,3.9,1,-1.85,-32.17,5.75,2025-04-10,3.8,2025-04-11 19:59:59,13,4.0,2025-04-11 19:59:59,7,0.03,1266,-650,-33.92,7462,184,2.53,1.3724,0.0472,3.56,3.9,-0.538329,0.050933,-0.306758,0.022577,-0.003567,2025-04-11,0.17,5,3.9,,TQQQ250417P00050000-2025-04-11,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,4.62,9.5,3.85,5.75,10,3.25,130.0,2.5,2025-04-09,5.75,2025-04-10 19:59:59,5,6.35,2025-04-10 19:59:59,10,0.08,1916,-976,-33.75,7278,555,8.26,1.3252,0.11,9.05,5.75,-0.634213,0.04449,-0.22399,0.024032,-0.005635,2025-04-10,0.26,7,6.05,,TQQQ250417P00050000-2025-04-10,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,11.05,11.7,2.28,2.5,1,-9.25,-78.72,11.75,2025-04-08,2.45,2025-04-09 19:59:59,1,2.66,2025-04-09 19:59:59,20,-0.050000000000000044,2892,-177,-5.77,6723,1855,38.11,1.2152,-0.237,-16.32,2.5,-0.352983,0.039282,-0.21755,0.028936,-0.004114,2025-04-09,0.43,8,2.56,,TQQQ250417P00050000-2025-04-09,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,6.9,13.09,5.55,11.75,1,1.18,11.16,10.57,2025-04-07,9.6,2025-04-08 19:59:59,1,13.45,2025-04-08 19:59:59,1,0.29,3069,2379,344.78,4868,16,0.33,1.4522,0.177,13.88,11.75,-0.838228,0.027765,-0.116855,0.014958,-0.007942,2025-04-08,0.63,9,11.52,,TQQQ250417P00050000-2025-04-08,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,14.0,15.55,6.15,10.57,4,0.49,4.86,10.08,2025-04-04,8.85,2025-04-07 20:00:00,5,10.45,2025-04-07 20:00:00,7,0.21,690,-711,-50.75,4852,238,5.16,1.2752,-0.029,-2.23,9.65,-0.78949,0.033293,-0.121765,0.019694,-0.008768,2025-04-07,0.14,10,9.65,,TQQQ250417P00050000-2025-04-07,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,5.55,10.08,5.0,10.08,1,6.33,168.8,3.75,2025-04-03,9.6,2025-04-04 19:59:59,2,11.05,2025-04-04 19:59:59,2,0.22,1401,-97,-6.48,4614,388,9.18,1.3042,0.2979,29.61,10.08,-0.761069,0.032045,-0.121714,0.023092,-0.010473,2025-04-04,0.3,12,10.33,,TQQQ250417P00050000-2025-04-04,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.83,3.75,2.18,3.75,1,2.95,368.75,0.8,2025-04-02,2.74,2025-04-03 19:59:59,1,4.0,2025-04-03 19:59:59,3,-0.010000000000000009,1498,1137,314.96,4226,64,1.54,1.0063,0.1162,13.06,3.75,-0.446075,0.039937,-0.137231,0.038936,-0.008737,2025-04-03,0.35,14,3.37,,TQQQ250417P00050000-2025-04-03,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.6,1.6,0.75,0.8,15,-0.28,-25.93,1.08,2025-04-01,0.7,2025-04-02 19:59:59,6,1.2,2025-04-02 19:59:59,1,-0.17000000000000004,361,-36,-9.07,4162,7,0.17,0.8901,0.0002,0.02,0.8,-0.134975,0.020085,-0.077285,0.026375,-0.003353,2025-04-02,0.09,15,0.95,,TQQQ250417P00050000-2025-04-02,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.5,1.81,1.08,1.08,1,-0.3,-21.74,1.38,2025-03-31,1.0,2025-04-01 20:00:01,10,1.27,2025-04-01 20:00:01,466,-0.15000000000000002,397,-1211,-75.31,4155,221,5.62,0.8899,0.0104,1.19,1.08,-0.169546,0.023143,-0.085034,0.031004,-0.004404,2025-04-01,0.1,16,1.14,,TQQQ250417P00050000-2025-04-01,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.06,2.86,1.34,1.38,10,-0.1,-6.76,1.48,2025-03-28,1.32,2025-03-31 19:59:59,1,1.5,2025-03-31 19:59:59,77,-0.13,1608,198,14.04,3934,96,2.5,0.8795,0.0179,2.08,1.38,-0.205442,0.026178,-0.089586,0.035179,-0.005558,2025-03-31,0.41,17,1.41,,TQQQ250417P00050000-2025-03-31,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,0.67,1.59,0.67,1.48,1,0.79,114.49,0.69,2025-03-27,1.32,2025-03-28 20:00:00,423,1.56,2025-03-28 20:00:00,115,-0.13,1410,734,108.58,3838,211,5.82,0.8616,0.0476,5.85,1.48,-0.210333,0.025614,-0.08411,0.037738,-0.00639,2025-03-28,0.37,19,1.44,,TQQQ250417P00050000-2025-03-28,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,0.72,0.77,0.44,0.69,2,0.09,15.0,0.6,2025-03-26,0.46,2025-03-27 19:59:59,5,0.74,2025-03-27 19:59:59,100,-0.19999999999999996,676,-64,-8.65,3627,351,10.71,0.814,0.0114,1.42,0.69,-0.108272,0.015292,-0.053031,0.027782,-0.00394,2025-03-27,0.19,21,0.6,,TQQQ250417P00050000-2025-03-27,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,0.39,0.72,0.39,0.6,1,0.25,71.43,0.35,2025-03-25,0.51,2025-03-26 19:59:59,594,0.66,2025-03-26 19:59:59,9,-0.20999999999999996,740,412,125.61,3276,-50,-1.5,0.8026,0.0002,0.03,0.6,-0.094412,0.013478,-0.047036,0.026181,-0.003663,2025-03-26,0.23,22,0.59,,TQQQ250417P00050000-2025-03-26,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,0.44,0.44,0.35,0.35,1,-0.1,-22.22,0.45,2025-03-24,0.34,2025-03-25 19:59:59,1,0.44,2025-03-25 19:59:59,6,-0.26,328,-496,-60.19,3326,212,6.81,0.8024,0.0041,0.52,0.35,-0.056023,0.008327,-0.032818,0.019073,-0.002413,2025-03-25,0.1,23,0.39,,TQQQ250417P00050000-2025-03-25,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,0.75,0.75,0.45,0.45,1,-0.45,-50.0,0.9,2025-03-21,0.41,2025-03-24 20:00:00,1,0.5,2025-03-24 20:00:00,17,-0.24,824,559,210.94,3114,80,2.64,0.7983,0.0053,0.67,0.45,-0.069294,0.009845,-0.037021,0.022593,-0.003066,2025-03-24,0.26,24,0.45,,TQQQ250417P00050000-2025-03-24,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.3,1.56,0.9,0.9,5,-0.13,-12.62,1.03,2025-03-20,0.8,2025-03-21 19:59:59,6,1.1,2025-03-21 19:59:59,167,-0.19999999999999996,265,-410,-60.74,3034,388,14.66,0.793,-0.0164,-2.03,0.9,-0.125255,0.015676,-0.051227,0.034212,-0.005674,2025-03-21,0.09,26,0.95,,TQQQ250417P00050000-2025-03-21,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.32,1.32,0.87,1.03,1,-0.04,-3.74,1.07,2025-03-19,1.08,2025-03-20 19:59:59,5,1.21,2025-03-20 19:59:59,161,-0.18999999999999995,675,-156,-18.77,2646,-133,-4.79,0.8094,0.01,1.25,1.14,-0.145448,0.016554,-0.055224,0.038968,-0.007082,2025-03-20,0.26,28,1.15,,TQQQ250417P00050000-2025-03-20,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.11,1.57,0.9,1.07,1,-0.58,-35.15,1.65,2025-03-18,1.04,2025-03-19 19:59:59,6,1.19,2025-03-19 19:59:59,12,-0.19999999999999996,831,253,43.77,2779,171,6.56,0.7994,-0.0349,-4.18,1.07,-0.136051,0.015576,-0.051745,0.038294,-0.006933,2025-03-19,0.3,29,1.12,,TQQQ250417P00050000-2025-03-19,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.3,2.3,1.2,1.65,1,0.47,39.83,1.18,2025-03-17,1.5,2025-03-18 19:59:59,117,1.76,2025-03-18 19:59:59,98,-0.17000000000000004,578,-10,-1.7,2608,290,12.51,0.8343,0.0039,0.47,1.65,-0.187039,0.018776,-0.06279,0.046157,-0.009558,2025-03-18,0.22,30,1.63,,TQQQ250417P00050000-2025-03-18,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.57,1.57,1.07,1.18,1,-0.37,-23.87,1.55,2025-03-15,1.1,2025-03-17 19:59:57,1,1.22,2025-03-17 19:59:57,1,-0.20999999999999996,588,-459,-43.84,2318,-305,-11.63,0.8304,-0.0182,-2.15,1.18,-0.136596,0.014348,-0.052826,0.040243,-0.007608,2025-03-17,0.25,31,1.16,,TQQQ250417P00050000-2025-03-17,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.0,2.3,1.53,1.55,1,-1.25,-44.64,2.8,2025-03-13,1.52,2025-03-14 19:59:59,4,1.75,2025-03-14 19:59:59,31,-0.18999999999999995,1047,612,140.69,2623,120,4.79,0.8486,-0.0525,-5.83,1.55,-0.16417,0.015684,-0.057927,0.046043,-0.00963,2025-03-14,0.4,33,1.64,,TQQQ250417P00050000-2025-03-14,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.23,3.06,2.13,2.8,1,0.8,40.0,2.0,2025-03-12,2.6,2025-03-13 20:00:00,55,2.87,2025-03-13 20:00:00,11,-0.13,435,-572,-56.8,2503,410,19.59,0.9011,0.0248,2.83,2.8,-0.251012,0.01978,-0.071506,0.056983,-0.014815,2025-03-13,0.17,35,2.74,,TQQQ250417P00050000-2025-03-13,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.1,2.75,1.97,2.0,1,-0.53,-20.95,2.53,2025-03-11,1.9,2025-03-12 19:59:59,4,2.5,2025-03-12 19:59:59,416,-0.18000000000000005,1007,415,70.1,2093,315,17.72,0.8763,-0.0086,-0.97,2.0,-0.18898,0.016096,-0.061731,0.051922,-0.012067,2025-03-12,0.48,36,2.2,,TQQQ250417P00050000-2025-03-12,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.84,3.55,2.28,2.53,1,-0.37,-12.76,2.9,2025-03-10,2.07,2025-03-11 19:59:59,41,3.4,2025-03-11 19:59:59,19,-0.15000000000000002,592,-258,-30.35,1778,609,52.1,0.8849,-0.08,-8.29,2.53,-0.227034,0.018127,-0.066116,0.056727,-0.014513,2025-03-11,0.33,37,2.74,,TQQQ250417P00050000-2025-03-11,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.0,3.5,1.9,2.9,2,1.52,110.14,1.38,2025-03-08,2.3,2025-03-10 19:59:59,7,2.97,2025-03-10 19:59:59,216,-0.16000000000000003,850,636,297.2,1169,152,14.95,0.9649,0.0651,7.23,2.9,-0.228499,0.016271,-0.072334,0.05838,-0.015458,2025-03-10,0.73,38,2.64,,TQQQ250417P00050000-2025-03-10,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.59,2.25,1.38,1.38,1,-0.44,-24.18,1.82,2025-03-07,0.87,2025-03-07 20:59:59,1164,1.89,2025-03-07 20:59:59,756,-0.26,214,-83,-27.95,1017,142,16.23,0.8998,-0.0314,-3.37,1.38,-0.121715,0.010071,-0.049663,0.045089,-0.009608,2025-03-07,0.21,40,1.38,,TQQQ250417P00050000-2025-03-07,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.44,2.09,1.24,1.82,1,0.8,78.43,1.02,2025-03-06,1.65,2025-03-06 20:59:59,10,1.82,2025-03-06 20:59:59,2,-0.24,297,54,22.22,875,177,25.36,0.9312,0.0356,3.97,1.82,-0.146154,0.010996,-0.055649,0.051332,-0.012013,2025-03-06,0.34,42,1.73,,TQQQ250417P00050000-2025-03-06,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.35,1.62,1.0,1.02,5,-0.4,-28.17,1.42,2025-03-05,0.65,2025-03-05 20:59:59,5,1.25,2025-03-05 20:59:59,35,-0.31000000000000005,243,-99,-28.95,698,194,38.49,0.8956,-0.0196,-2.14,1.02,-0.087613,0.007195,-0.040165,0.039343,-0.007941,2025-03-05,0.35,43,0.95,,TQQQ250417P00050000-2025-03-05,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.1,2.0,1.05,1.42,1,0.48,51.06,0.94,2025-03-04,1.0,2025-03-04 21:00:02,5,1.7,2025-03-04 21:00:02,8,-0.28,342,185,117.83,504,106,26.63,0.9152,0.102,12.54,1.42,-0.114753,0.008808,-0.047474,0.046639,-0.010341,2025-03-04,0.68,44,1.35,,TQQQ250417P00050000-2025-03-04,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,0.76,1.6,0.64,0.94,1,0.04,4.44,0.9,2025-03-01,0.92,2025-03-03 21:00:00,265,1.64,2025-03-03 21:00:00,1,-0.29000000000000004,157,-17,-9.77,398,90,29.22,0.8132,-0.0732,-8.25,0.94,-0.089744,0.008104,-0.035234,0.039876,-0.0082,2025-03-03,0.39,45,1.28,,TQQQ250417P00050000-2025-03-03,options-eod
