Date,Close/Last,Volume,Open,High,Low
04/11/2025,10.23,412972900,9.35,10.39,8.91
04/10/2025,9.63,686331800,10.915,11.14,8.35
04/09/2025,12.77,787748800,8.475,13.11,8.24
04/08/2025,8.25,488735500,10.41,10.84,7.60
04/07/2025,9.15,723467300,7.88,10.98,7.225
04/04/2025,8.73,499158100,10.05,10.4299,8.175
04/03/2025,11.41,302517400,13.81,14.12,11.40
04/02/2025,16.26,141655200,15.19,16.89,15.03
04/01/2025,15.95,106085000,15.725,15.99,14.825
03/31/2025,15.95,111345600,15.07,15.9761,14.40
03/28/2025,16.03,138232400,17.33,17.59,15.74
03/27/2025,17.76,103112800,18.165,18.4099,17.3601
03/26/2025,18.79,95647340,20.30,20.51,18.20
03/25/2025,20.55,57784410,20.83,21.0199,20.35
03/24/2025,21.00,91671320,20.48,21.3651,20.37
03/21/2025,19.28,84348320,18.82,19.4864,18.37
03/20/2025,19.93,80380580,19.61,20.57,19.5854
03/19/2025,20.38,83249650,19.89,21.37,19.46
03/18/2025,19.93,79140870,20.19,20.40,19.52
03/17/2025,20.79,82794210,19.51,21.28,19.50
03/14/2025,19.80,99718710,19.06,19.93,18.99
03/13/2025,18.09,117160200,18.38,19.2699,17.575
03/12/2025,18.30,137654500,18.54,19.11,17.9038
03/11/2025,17.41,161267000,18.05,18.495,16.51
03/10/2025,17.99,169215200,19.34,19.80,17.10
03/07/2025,20.88,139349200,19.50,21.0899,18.75
03/06/2025,19.23,164277600,19.71,21.02,19.01
03/05/2025,21.95,117702400,21.25,22.16,20.12
03/04/2025,20.65,154119800,20.28,22.261,19.00
03/03/2025,20.51,141822100,23.715,23.73,19.71
02/28/2025,22.73,110939400,21.80,23.2199,21.0201
02/27/2025,21.75,144841600,26.78,26.90,21.7301
02/26/2025,26.29,75869460,25.99,27.00,25.52
02/25/2025,25.07,90907490,26.655,26.92,24.82
02/24/2025,26.76,63724100,29.16,29.26,26.66
02/21/2025,28.81,61966470,31.905,31.96,28.40
02/20/2025,31.70,50903180,32.06,32.64,30.70
02/19/2025,31.47,58412710,30.19,31.89,29.7601
02/18/2025,29.99,60222220,29.20,30.23,28.71
02/14/2025,28.55,43089590,28.485,28.82,28.105
02/13/2025,28.47,61026260,27.49,28.55,27.40
02/12/2025,27.54,57999330,26.18,27.54,25.95
02/11/2025,27.40,43880480,26.68,27.90,26.68
02/10/2025,27.35,53330530,26.92,27.55,26.90
02/07/2025,26.33,87930830,27.87,28.28,25.80
02/06/2025,27.69,59735110,27.17,27.80,26.7207
02/05/2025,27.70,70330720,26.09,27.9499,25.54
02/04/2025,26.25,60520490,25.34,26.60,25.20
02/03/2025,25.61,103914300,24.80,26.49,24.31
01/31/2025,27.02,102622500,27.63,29.25,26.70
01/30/2025,27.15,87140370,26.58,27.67,26.14
01/29/2025,25.68,94141650,26.11,26.295,24.851
01/28/2025,25.37,103185300,25.44,25.80,23.75
01/27/2025,25.06,198431800,27.66,28.08,23.84
01/24/2025,32.65,60111510,34.94,34.94,32.31
01/23/2025,34.92,44900570,33.44,34.92,33.01
01/22/2025,35.15,57709380,34.69,36.15,34.41
01/21/2025,33.69,60897490,33.33,34.53,32.50
01/17/2025,32.49,69688880,32.03,32.71,31.48
01/16/2025,29.99,78881060,31.46,31.72,29.99
01/15/2025,29.94,69461330,29.65,30.46,29.30
01/14/2025,28.12,79759430,28.47,28.96,27.18
01/13/2025,27.85,68286430,26.44,27.87,26.25
01/10/2025,28.06,85395010,29.06,29.09,27.44
01/08/2025,30.18,69523500,30.80,31.01,29.1754
01/07/2025,31.15,79205730,33.57,33.73,30.60
01/06/2025,32.49,95159510,31.81,33.63,31.81
01/03/2025,29.82,72119600,28.32,30.118,28.16
01/02/2025,27.67,80996340,28.13,29.0482,27.035
12/31/2024,27.31,61199480,28.20,28.57,26.93
12/30/2024,27.94,64858950,28.24,28.7761,27.32
12/27/2024,29.69,59316270,29.98,30.18,28.59
12/26/2024,30.57,45349000,29.90,31.10,29.76
12/24/2024,30.48,39963670,30.26,30.57,29.655
12/23/2024,29.59,79330920,27.89,29.76,27.86
12/20/2024,27.30,108080200,25.82,28.37,25.59
12/19/2024,26.30,86520100,27.97,28.0098,26.06
12/18/2024,27.83,102912200,31.78,32.48,27.00
12/17/2024,31.13,64499050,31.58,32.09,30.55
12/16/2024,32.51,85469690,31.12,32.95,30.39
12/13/2024,30.70,103693900,30.37,31.31,29.485
12/12/2024,28.46,59937610,28.45,28.825,27.74
12/11/2024,29.12,77277440,28.33,29.63,27.79
12/10/2024,27.06,77681750,29.43,29.53,26.56
12/09/2024,29.23,54963030,29.07,30.32,28.61
12/06/2024,29.61,49152300,29.20,29.8582,28.90
12/05/2024,29.12,59282090,30.75,30.8699,28.88
12/04/2024,30.88,67498760,31.54,31.56,30.24
12/03/2024,29.73,59730280,29.58,30.28,29.40
12/02/2024,30.20,89389850,28.56,30.80,28.46
11/29/2024,28.06,54303370,27.55,29.0402,27.50
11/27/2024,26.98,84235680,27.68,27.75,25.582
11/26/2024,28.13,73204150,30.04,30.25,27.46
11/25/2024,29.33,70536000,29.58,30.0996,28.74
11/22/2024,28.49,52604110,28.25,28.69,27.84
11/21/2024,28.49,106013200,28.05,28.92,26.47
11/20/2024,27.13,90911690,27.335,27.56,26.00
11/19/2024,27.85,57030590,27.37,28.0299,27.09
11/18/2024,27.67,70735080,26.70,27.83,26.30
11/15/2024,26.66,113560200,28.01,28.49,26.43
11/14/2024,29.60,68994190,30.59,30.835,29.3801
11/13/2024,29.69,92269200,30.83,31.2198,29.47
11/12/2024,31.67,75694780,32.37,32.55,30.38
11/11/2024,32.77,99155710,34.35,34.41,31.48
11/08/2024,35.41,62666320,35.56,36.28,34.835
11/07/2024,36.21,77945840,35.77,36.37,35.44
11/06/2024,34.12,97893070,33.25,34.50,32.40
11/05/2024,31.38,63174860,30.36,31.49,30.25
11/04/2024,30.35,60422390,30.61,31.67,30.01
11/01/2024,30.83,80726050,30.69,31.83,30.38
10/31/2024,30.09,135437800,33.01,33.02,29.23
10/30/2024,34.01,89440100,34.97,35.695,33.911
10/29/2024,37.98,72288160,35.46,38.445,34.9413
10/28/2024,35.35,51661090,35.30,36.09,34.75
10/25/2024,35.28,82300520,35.19,36.8699,35.17
10/24/2024,34.29,60128280,34.58,34.7364,33.53
10/23/2024,33.80,81658290,34.41,34.88,32.29
10/22/2024,34.69,51493100,34.40,35.03,33.845
10/21/2024,35.09,59115790,34.84,35.38,33.73
10/18/2024,35.27,56704340,36.25,36.33,34.85
10/17/2024,35.21,97549030,37.17,37.36,35.21
10/16/2024,34.46,70233040,35.75,35.75,34.00
10/15/2024,34.47,131664200,40.49,41.19,33.6398
10/14/2024,40.82,69661770,39.44,41.06,39.35
10/11/2024,38.67,58434530,36.93,39.05,36.86
10/10/2024,37.83,79999050,37.10,38.42,36.36
10/09/2024,38.61,67182750,37.29,38.76,36.5312
10/08/2024,37.46,66629650,36.42,37.8312,35.66
10/07/2024,36.41,73150170,35.92,37.24,35.565
10/04/2024,36.68,101125400,37.31,37.53,35.4501
10/03/2024,35.21,86857200,34.07,36.61,33.98
10/02/2024,34.96,81729070,33.85,36.05,33.16
10/01/2024,33.83,124928300,36.59,36.99,32.745
09/30/2024,36.68,74673960,36.25,37.41,35.0521
09/27/2024,37.66,85253520,40.00,40.01,37.105
09/26/2024,39.65,138171800,40.20,40.51,36.71
09/25/2024,35.74,73587500,34.71,36.46,34.65
09/24/2024,35.07,83369640,34.84,35.70,33.58
09/23/2024,33.92,59731610,33.97,34.38,33.185
09/20/2024,33.55,108589600,34.05,34.40,32.0401
09/19/2024,35.12,123984300,34.68,36.439,33.88
09/18/2024,31.14,113735500,32.54,34.00,31.05
09/17/2024,32.16,86913740,33.31,33.56,31.36
09/16/2024,32.16,79670080,32.03,32.64,30.835
09/13/2024,33.43,78147290,32.52,33.72,32.36
09/12/2024,31.81,99273290,31.75,32.69,30.35
09/11/2024,32.22,143140900,28.89,32.42,27.08
09/10/2024,28.35,81557460,27.54,28.39,26.24
09/09/2024,27.43,84474540,27.18,27.7291,26.15
09/06/2024,25.96,156147600,29.11,29.17,25.50
09/05/2024,29.75,100075900,29.05,31.2002,28.83
09/04/2024,30.30,108759900,29.07,31.69,28.73
09/03/2024,30.07,140077900,36.80,36.8091,29.40
08/30/2024,38.79,85280840,38.68,39.22,37.06
08/29/2024,36.19,97333240,37.06,38.93,35.625
08/28/2024,36.60,101998500,38.09,38.86,35.2905
08/27/2024,38.49,74033310,36.51,38.9699,35.52
08/26/2024,37.37,86602950,39.75,40.29,36.91
08/23/2024,40.40,87128060,39.16,41.21,38.593
08/22/2024,37.51,107889900,42.51,42.88,37.11
08/21/2024,41.73,83611470,40.75,42.36,40.33
08/20/2024,40.09,83644560,41.05,41.92,39.10
08/19/2024,41.60,77684160,39.28,41.75,37.89
08/16/2024,39.73,82364590,38.79,40.2301,38.07
08/15/2024,39.92,107522700,37.35,40.47,36.86
08/14/2024,35.05,112421600,36.18,36.64,33.27
08/13/2024,35.28,103380000,32.66,35.43,32.185
08/12/2024,31.41,89135110,31.105,32.59,30.23
08/09/2024,31.01,96949820,30.71,31.79,29.58
08/08/2024,31.46,149988600,28.57,31.595,26.87
08/07/2024,26.22,146256500,31.32,31.94,25.94
08/06/2024,28.58,137309500,28.60,30.80,27.17
08/05/2024,27.89,220042200,23.52,30.15,23.50
08/02/2024,29.34,198233900,30.56,31.59,28.14
08/01/2024,35.00,163864400,42.05,43.42,33.42
07/31/2024,44.39,96880500,42.30,44.76,41.42
07/30/2024,37.24,108596000,42.38,42.67,36.7801
07/29/2024,41.81,80788360,43.365,45.00,41.26
07/26/2024,41.92,82759210,42.24,43.00,40.71
07/25/2024,39.78,143325900,41.51,43.70,37.39
07/24/2024,42.90,90534810,48.43,48.79,42.25
07/23/2024,50.53,50181650,50.50,52.0721,50.00
07/22/2024,52.93,73675300,50.05,52.95,48.8124
07/19/2024,47.00,75969060,51.78,52.37,46.75
07/18/2024,51.66,94172560,54.16,54.17,49.12
07/17/2024,51.55,99429840,58.60,59.30,51.2223
07/16/2024,65.30,39846360,65.02,65.59,62.23
07/15/2024,64.14,48228690,64.945,66.76,63.0501
07/12/2024,63.94,51046400,62.84,67.30,61.65
07/11/2024,61.99,75368530,70.01,70.08,61.22
07/10/2024,68.59,48280850,65.89,69.00,65.0128
07/09/2024,64.25,41946650,65.13,66.145,62.42
07/08/2024,64.31,42861610,62.26,64.50,62.20
07/05/2024,60.81,38395410,61.862,62.38,59.79
07/03/2024,60.39,40242700,58.10,61.515,57.18
07/02/2024,57.60,45011670,54.36,57.75,54.28
07/01/2024,55.36,43334970,55.36,55.55,52.25
06/28/2024,55.36,55584640,54.87,58.581,54.085
06/27/2024,53.80,35417040,54.33,55.58,52.82
06/26/2024,54.78,41093440,55.16,56.22,52.85
06/25/2024,55.30,44272490,54.23,55.45,52.35
06/24/2024,53.22,54326350,56.45,57.49,53.03
06/21/2024,58.20,50355100,58.42,60.18,56.03
06/20/2024,60.02,60852930,65.52,65.8255,58.79
06/18/2024,65.24,47069130,63.42,66.19,63.10
06/17/2024,62.67,54196460,61.00,63.15,58.95
06/14/2024,60.10,39111980,58.95,60.5499,58.35
06/13/2024,60.86,45660670,60.07,61.49,58.30
06/12/2024,58.72,73759290,57.245,59.45,56.81
06/11/2024,54.17,37695740,53.38,54.48,51.70
06/10/2024,53.95,43860890,50.52,54.58,50.4203
06/07/2024,51.87,50248680,52.228,52.90,50.81
06/06/2024,52.51,43947640,53.79,53.79,51.23
06/05/2024,53.52,66560150,50.03,53.87,49.565
06/04/2024,47.59,46692540,48.46,48.65,46.43
06/03/2024,48.59,53127300,50.81,50.93,46.1201
05/31/2024,48.59,72522590,50.30,50.72,44.38
05/30/2024,50.00,38609190,50.84,51.34,48.98
05/29/2024,50.98,42965600,51.15,51.92,50.65
05/28/2024,54.04,50658370,53.34,54.89,51.75
05/24/2024,51.44,48477370,50.02,52.072,49.35
05/23/2024,48.81,81175940,53.15,53.20,47.55
05/22/2024,49.38,55487830,49.25,50.00,48.10
05/21/2024,47.98,36437200,46.55,48.19,46.41
05/20/2024,48.25,55103240,45.96,49.30,45.81
05/17/2024,45.40,40965760,47.015,47.38,44.33
05/16/2024,46.26,46325510,46.96,48.0301,46.21
05/15/2024,47.00,58063530,44.67,47.07,43.99
05/14/2024,43.21,41581510,41.18,43.4385,41.05
05/13/2024,41.27,30565380,41.60,42.07,41.075
05/10/2024,41.03,47048410,41.15,42.24,40.515
05/09/2024,39.96,39132710,40.40,40.62,39.31
05/08/2024,40.41,53735100,39.06,40.5018,38.96
05/07/2024,40.36,51508420,41.53,41.9099,40.28
05/06/2024,41.30,48404840,39.97,41.38,39.48
05/03/2024,38.97,58599400,38.75,39.58,38.1032
05/02/2024,36.45,56653380,35.98,36.91,34.1201
05/01/2024,34.37,97290300,36.08,38.06,33.65
04/30/2024,38.18,56304160,40.08,41.49,38.12
04/29/2024,40.61,51120690,39.60,40.83,38.71
04/26/2024,39.80,59041750,37.32,40.29,37.005
04/25/2024,37.41,80677600,35.28,38.18,34.64
04/24/2024,35.49,80370060,36.91,37.48,34.60
04/23/2024,34.11,66511470,32.82,34.66,32.59
04/22/2024,32.07,65096870,31.58,32.85,30.50
04/19/2024,30.79,105240100,33.96,34.58,30.20
04/18/2024,34.91,91529690,36.04,36.80,34.53
04/17/2024,37.06,85426550,40.60,40.85,36.64
04/16/2024,40.54,62696180,39.75,41.17,39.21
04/15/2024,39.78,62077770,42.99,43.40,39.10
